version,msg_size,threads_count,total_bytes,throughput_gbps,latency_us,cpu_cycles,cache_misses
A1,256,1,3698026752,2.958421,.69,45053131831,106658710
A1,256,2,3793310976,3.034648,.67,45802778554,110948559
A1,256,4,4629304576,3.703443,.55,56339207912,128484052
A1,256,8,4197786880,3.358229,.60,59176360778,140351600
A1,512,1,8611831296,6.889465,.59,54722795094,188306889
A1,512,2,8838422528,7.070738,.57,57534630723,209048371
A1,512,4,8635673600,6.908538,.59,53961824690,209142397
A1,512,8,6880010240,5.504008,.74,46800779195,191415455
A1,1024,1,12697316352,10.157853,.80,43922989716,270244453
A1,1024,2,16620184576,13.296147,.61,56058193882,351706612
A1,1024,4,12043047936,9.634438,.85,55996974313,354640155
A1,1024,8,16746586112,13.397268,.61,58478227176,378646535
A1,4096,1,36948582400,29.558865,1.10,52351049194,751539944
A1,4096,2,35120660480,28.096528,1.16,50715275580,731604217
A1,4096,4,33942425600,27.153940,1.20,49306225387,710108804
A1,4096,8,16923201536,13.538561,2.42,39764280921,608196890
A2,256,1,3610857984,2.888686,.70,64132879703,92039832
A2,256,2,3515878912,2.812703,.72,60508699597,110481373
A2,256,4,3047311616,2.437849,.84,52847266785,101660551
A2,256,8,2657866496,2.126293,.96,46377779776,108347660
A2,512,1,4318181888,3.454545,1.18,40376534597,115816097
A2,512,2,4419900928,3.535920,1.15,44140843816,126488267
A2,512,4,4662638592,3.730110,1.09,45473388121,143792358
A2,512,8,4581500928,3.665200,1.11,45598068841,148364389
A2,1024,1,8497683456,6.798146,1.20,44030175328,192135437
A2,1024,2,8770923520,7.016738,1.16,45534154369,207058741
A2,1024,4,8604532736,6.883626,1.19,44205346566,217696317
A2,1024,8,10920805376,8.736644,.93,56776067919,283368716
A2,4096,1,33565171712,26.852137,1.22,56100552406,672495166
A2,4096,2,36493991936,29.195193,1.12,58144292683,744802159
A2,4096,4,34496901120,27.597520,1.18,55361226789,705479029
A2,4096,8,28125880320,22.500704,1.45,54426698708,708012283
A3,256,1,273600768,.218880,9.35,65028023354,22989327
A3,256,2,423539968,.338831,6.04,66918579716,18215111
A3,256,4,355928320,.284742,7.19,73159068930,55299998
A3,256,8,391990272,.313592,6.53,69654264448,198815036
A3,512,1,845226496,.676181,6.05,60787924690,9229537
A3,512,2,962682880,.770146,5.31,67785131232,21100690
A3,512,4,942991360,.754393,5.42,65041018175,93599629
A3,512,8,987738624,.790190,5.18,70516558765,210152590
A3,1024,1,1675897856,1.340718,6.11,62206586806,20676650
A3,1024,2,2022095872,1.617676,5.06,72374668799,15636337
A3,1024,4,2167815168,1.734252,4.72,77056641887,64302561
A3,1024,8,756952064,.605561,13.52,76300437630,205996058
A3,4096,1,11867312160,9.493849,3.45,63069598057,11180859
A3,4096,2,12812483872,10.249987,3.19,65345069154,47007551
A3,4096,4,11387170016,9.109736,3.59,60510592018,158286549
A3,4096,8,10469359936,8.375487,3.91,55093417709,216164843
